turn,Advanced Stateless Bot,Lulu,ZacRockBot,JetskiBot,OmniTitanBot,ElixirSmartBot,HomerSimpson,bee_35,DeepDream,XDDDDDDD8,oldDeepDream,pOtAtO,Simubot_fast,DeepDream_multi_cargo,3.0 flash python,OmniBot,Simubot,beatz,GoldDigger,_L_,python-medium bot,Starter bot 7,Starter bot 8,BOB,Hero,QH bot,Move 1,Prolog smarter bot,vitamindaddyreturns2,Elixir starter bot,Apollo,Rust starter bot,3.0 flash elixir,GreedyTrader_9083,Leighton v2.2.6,bee_494
47,sell 24,buy 37,sell 37,sell 37,move -3,move -1,move 0,buy 37,DQ,sell 37,sell 37,move 0,sell 37,sell 37,buy 37,move 1,move 0,buy 37,buy 1,move 0,move 1,move 1,buy 0,move 1,move 1,move 0,buy 0,buy 1,move 0,move 1,move -7,move -6,buy 1,sell 37,move -3,sell 37
48,move -7,move -4,move 5,move -6,buy 37,move 3,move 0,move -4,DQ,move -7,move 4,move 0,move 4,move -7,move 2,move 1,move 0,move -7,move -5,move 0,move -1,move 1,buy 0,move 1,buy 37,move 0,buy 0,move 7,move 0,move 1,buy 37,buy 20,move 1,move 1,buy 37,move 5
49,move -7,sell 37,buy 37,buy 50,move 7,buy 45,move 0,sell 37,DQ,move -3,buy 37,move 0,buy 37,move -3,sell 37,move 1,move 0,move -7,sell 1,move 0,move 1,move 1,buy 0,move 1,move -1,move 0,buy 0,move 0,move 0,move 1,move -4,move -4,move 1,buy 37,move -1,buy 37
50,buy 37,move 4,move -5,move -4,move 3,move -3,move 0,move 4,DQ,buy 37,move -4,move 0,move -4,buy 37,move -7,move 1,move 0,move -1,move 5,move 0,move -1,move 1,buy 0,move 1,sell 29,move 0,buy 0,move 0,move 0,move 1,sell 37,buy 37,move -1,move -1,sell 37,move -5
51,move -4,buy 37,sell 37,buy 37,sell 37,move -7,move 0,buy 37,DQ,move 7,sell 37,move 0,sell 37,move -4,move -1,move 1,move 0,sell 37,buy 2,move 0,move 1,move 1,buy 0,move 1,move 3,move 0,buy 0,move 0,move 0,move 1,move 4,move 7,move 1,move 3,move 3,sell 37
52,sell 37,move -4,move 5,move 7,move -7,move -7,move 0,move -4,DQ,move 3,move 4,move 0,move 4,sell 37,buy 37,move 1,move 0,move 4,move 0,move 0,move -1,move 1,buy 0,move 1,buy 51,move 0,buy 0,move 0,move 0,move 1,buy 37,move 3,move -1,buy 47,buy 28,move -7
53,move 4,sell 37,buy 37,move 3,move -2,move -3,move 0,sell 37,DQ,sell 37,buy 37,move 0,buy 37,move 4,move -4,move 1,move 0,buy 37,move 0,move 0,move 1,move 7,buy 0,move 1,move -7,move 0,buy 0,move 0,move 0,move 1,move -4,sell 37,move 1,move -7,move 7,move -1
54,buy 37,move 4,move -5,sell 37,buy 37,sell 37,move 0,move 4,DQ,move 4,move -4,move 0,move -4,buy 37,sell 37,move 1,move 0,move -5,move 0,move 0,move -1,buy 1,buy 0,move 1,move -7,move 0,buy 0,move 0,move 0,move 1,sell 37,move -6,move -1,move -7,move 6,buy 44
55,move -4,move 3,sell 37,move -7,move -4,move 6,move 0,buy 25,DQ,buy 56,sell 37,move 0,sell 37,move -4,move 4,move 1,move 0,sell 37,move 0,move 0,move 1,move 1,buy 0,move 1,move -6,move 0,buy 0,move 0,move 0,move 1,move 4,buy 20,move 1,move -6,buy 37,move -7
56,sell 37,buy 46,move -7,move -3,sell 37,move 1,move 0,move -4,DQ,move -7,move 3,move 0,move 3,sell 37,buy 37,move 1,move 0,move 5,move 0,move 0,move -1,move 1,buy 0,move 1,sell 8,move 0,buy 0,move 0,move 0,move 1,buy 37,move -4,move -1,sell 37,move -2,move -7
57,move 4,move -7,move -1,buy 37,move 1,buy 37,move 0,sell 25,DQ,move -7,buy 37,move 0,buy 37,move 3,move -4,move 1,move 0,buy 37,move 0,move 0,move 1,move 1,buy 0,move 1,move -5,move 0,buy 0,move 0,move 0,move 1,move -4,buy 37,move 1,move -5,sell 37,buy 37
58,buy 37,move -7,buy 54,move 7,buy 58,move -4,move 0,move 7,DQ,buy 37,move -2,move 0,move -2,buy 37,sell 13,move 1,move 0,move -5,move 0,move 0,move -1,move 1,buy 0,move 1,buy 37,move 0,buy 0,move 0,move 0,move 1,sell 13,move 7,move 0,buy 37,move 2,move 7
59,move -6,move -1,move -7,move 3,move 2,move -2,move 0,buy 56,DQ,move 7,buy 54,move 0,buy 28,move -2,move -2,move 1,move 0,sell 37,move 0,move 0,move 1,move 1,move -7,move 1,move -5,move 0,buy 0,move 0,move 0,move 1,move -2,move 3,move 0,move -5,buy 17,move 3
60,sell 37,buy 37,move -7,sell 37,buy 37,sell 37,move 0,move -4,DQ,move 3,move -7,move 0,move -7,buy 43,sell 24,move 1,move 0,move -4,move 0,move 0,move -1,move 1,move -5,move 1,sell 37,move 0,buy 0,move 0,move 0,buy 1,sell 24,sell 37,move 0,sell 37,move -5,sell 37
61,move 3,move -5,buy 37,move -7,move 7,move 5,move 0,buy 37,DQ,sell 37,move -6,move 0,move -6,move -7,move -6,move 1,move 0,buy 58,move 0,move 0,move 1,move 1,buy 0,move 1,move 2,move 0,buy 0,move 0,move 0,move 1,move 5,move -6,move 0,move 2,sell 17,move -7
62,buy 60,sell 37,move 7,move -3,move 3,buy 37,move 0,move 7,DQ,move -7,sell 37,move 0,sell 37,move -6,buy 37,move 1,move 0,move 7,move 0,move 0,move -1,move 0,buy 0,move 1,buy 37,move 0,buy 0,move 0,move 0,move 1,buy 37,buy 20,move 0,buy 37,move 5,move -3
63,move 2,move 5,move 3,buy 37,sell 37,move -7,move 0,move 3,DQ,move -3,move 4,move 0,move 4,sell 37,move -5,move 1,move 0,move 7,move 0,move 0,move 0,move 0,buy 0,move 0,move 1,move 0,buy 0,move 0,move 0,move 1,move 4,move -4,move 0,move 1,buy 37,buy 37
64,buy 37,buy 37,sell 37,move -2,move -7,move 5,move 0,sell 37,DQ,buy 37,buy 37,move 0,buy 37,move 4,sell 37,move 1,move 0,move 6,move 0,move 0,move 0,move 0,buy 0,move 0,sell 37,move 0,buy 0,move 0,move 0,buy 1,buy 56,buy 37,move 0,sell 37,move -2,move 7
65,move 7,move -5,move -7,buy 46,move -3,buy 50,move 0,move -7,DQ,move 7,move -5,move 0,move -5,buy 37,move 5,move 1,move 0,buy 37,move 0,move 0,move 0,move 0,buy 0,move 0,move -1,move 0,buy 0,move 0,move 0,move 1,move -7,move 7,move 0,move -1,sell 37,move 3
66,move 3,sell 37,move -3,move -7,buy 37,move -7,move 0,move -3,DQ,move 3,sell 37,move 0,sell 37,move -5,buy 37,move 1,move 0,move -7,move 0,move 0,move 0,move 0,buy 0,move 0,buy 37,move 0,buy 0,move 0,move 0,move 1,move -7,move 3,move 0,buy 37,move 2,sell 37
67,sell 37,move 5,buy 37,move -6,move -7,move -6,move 0,buy 37,DQ,sell 37,move 5,move 0,move 5,sell 37,move -5,move 1,move 0,move -7,move 0,move 0,move 0,move 0,buy 0,move 0,move 1,move 0,buy 0,move 0,move 0,move 1,move -5,sell 37,move 0,move 1,buy 37,move -6
68,move -7,buy 37,move -7,sell 37,move -7,sell 37,move 0,move -7,DQ,move -7,buy 37,move 0,buy 37,move 5,sell 37,move 1,move 0,move -1,move 0,move 0,move 0,move 0,buy 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 1,sell 37,move -6,move 0,sell 37,move -2,buy 50
69,move -3,move -5,move -7,move 4,move -1,move 4,move 0,move -7,DQ,move -2,move -5,move 0,move -5,buy 37,move -4,move 1,move 0,sell 37,move 0,move 0,move 0,move 0,buy 0,move 0,move -1,move 0,buy 0,move 0,move 0,move 0,move 7,buy 20,move 0,move -1,sell 37,move -4
70,buy 37,sell 37,move -1,buy 37,sell 37,buy 37,move 0,move -1,DQ,buy 37,sell 37,move 0,sell 37,move -7,buy 56,move 1,move 0,move 4,move 0,move 0,move 0,move 0,buy 0,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,move 7,move -4,move 0,buy 37,move 2,buy 37
71,move -7,move -4,sell 37,move -5,move 4,move -5,move 0,sell 37,DQ,move -6,move 2,move 0,move -4,move -2,move 7,move 1,move 0,buy 37,move 0,move 0,move 0,move 0,buy 0,move 0,move 1,move 0,buy 0,move 0,move 0,move 0,move 1,buy 37,move 0,move 1,buy 37,move -7
72,move -7,buy 44,move 4,sell 37,buy 37,sell 37,move 0,move 4,DQ,sell 37,buy 37,move 0,buy 15,buy 29,move 2,move 1,move 0,move -5,move 0,move 0,move 0,move 0,buy 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,buy 37,move -7,move 0,sell 37,move -2,move -7
73,move -1,move 7,buy 37,move 5,move -5,move 5,move 0,move -3,DQ,move 3,move 1,move 0,move 6,move 4,buy 37,move 1,move 0,sell 37,move 0,move 0,move 0,move 0,buy 0,move 0,move -1,move 0,buy 0,move 0,move 0,move 0,move -7,move -7,move 0,move -1,sell 37,move -1
74,sell 37,move -1,move -5,buy 30,sell 37,buy 37,move 0,buy 37,DQ,buy 62,sell 37,move 0,buy 37,sell 37,move -5,move 1,move 0,move 5,move 0,move 0,move 0,move 0,buy 0,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,move -7,move -1,move 0,buy 37,move 2,sell 37
75,move 1,buy 37,sell 23,move 7,move 2,move -5,move 0,move 1,DQ,move 2,move -1,move 0,move 1,move 2,sell 23,move 1,move 0,buy 37,move 0,move 0,move 0,move 0,buy 0,move 0,move 1,move 0,buy 0,move 0,move 0,move 0,move -1,sell 37,move 0,move 1,buy 37,move 1
76,buy 37,move 1,move -4,move 7,buy 37,move 7,move 0,sell 37,DQ,buy 15,buy 37,move 0,sell 37,buy 37,move 7,move 1,move 0,move -7,move 0,move 0,move 0,move 0,move -3,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,sell 15,move -5,move 0,move -7,move -2,buy 37
77,move 1,sell 37,buy 62,move 5,move 1,move 7,move 0,move -1,DQ,move 7,move 1,move 0,move -1,move 1,buy 23,move 1,move 0,move -2,move 0,move 0,move 0,move 0,buy 0,move 0,move -1,move 0,buy 0,move 0,move 0,move 0,move -5,buy 14,move 0,buy 46,sell 37,move 1
78,sell 37,move -1,move -7,sell 30,sell 37,buy 46,move 0,buy 37,DQ,move 3,sell 37,move 0,buy 37,sell 37,move 7,move 1,move 0,buy 58,move 0,move 0,move 0,move 0,buy 0,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,buy 54,move 6,move 0,move 7,move 2,sell 37
79,move -1,buy 37,move -7,move -4,move -1,move 7,move 0,move 1,DQ,sell 15,move -1,move 0,move 1,move -1,buy 28,move 1,move 0,move -7,move 0,move 0,move 0,move 0,buy 0,move 0,move 1,move 0,buy 0,move 0,move 0,move 0,move 1,buy 37,move 0,sell 37,buy 37,move 2
80,buy 37,move 1,buy 14,buy 50,buy 37,move 3,move 0,sell 37,DQ,move -7,move 3,move 0,sell 37,buy 37,move 7,move 1,move 0,move -7,move 0,move 0,move 0,move 0,buy 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,move -7,move 1,move 0,move -1,move -2,buy 37
81,move 1,sell 37,move -6,move -7,move 7,sell 37,move 0,move -1,DQ,move -7,buy 37,move 0,move 0,move 7,move 3,move 1,move 0,move -6,move 0,move 0,move 0,move 0,buy 0,move 0,move -1,move 0,buy 0,move 0,move 0,move 0,move -3,sell 37,move 0,buy 37,sell 37,move 7
82,sell 35,move 2,sell 14,move -7,move 3,move 4,move 0,buy 37,DQ,move -7,move 7,move 0,move 0,move 3,sell 14,move 1,move 0,sell 37,move 0,move 0,move 0,move 0,buy 0,move 0,move -6,move 0,buy 0,move 0,move 0,move 0,sell 22,move -1,move 0,move 1,move 2,move 7
83,move 6,buy 37,move -7,move -1,sell 37,buy 37,move 0,move 7,DQ,buy 37,move 7,move 0,move 0,sell 37,move 7,move 1,move 0,move -4,move 0,move 0,move 0,move 0,move -6,move 0,buy 48,move 0,buy 0,move 0,move 0,move 0,move -7,buy 37,move 0,move 7,buy 37,move 5
84,buy 35,move 7,buy 37,buy 37,move 2,move -7,move 0,move 3,DQ,move 7,move 1,move 0,move 0,move 5,move 1,move 0,move 0,buy 24,move 0,move 0,move 0,move 0,move 7,move 0,move -1,move 0,buy 0,move 0,move 0,move 0,buy 37,move -6,move 0,move 2,move -2,sell 37
85,move 7,move 7,move -6,move 7,buy 62,move -7,move 0,sell 37,DQ,move 7,buy 20,move 0,move 0,buy 37,sell 23,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move -4,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,move -7,buy 32,move 0,sell 37,sell 37,move -7
86,move 2,move 5,sell 37,move 7,move -7,move -4,move 0,move 2,DQ,move 5,move 4,move 0,move 0,move -6,move -4,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move -2,move 0,buy 0,move 0,move 0,move 0,move -7,move 7,move 0,move 5,move 2,buy 37
87,sell 35,sell 37,move -6,move 5,move -2,sell 37,move 0,buy 62,DQ,sell 37,sell 37,move 0,move 0,sell 37,buy 37,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,move -4,move 7,move 0,buy 37,buy 37,move -6
88,move -6,move 4,buy 37,sell 37,buy 37,move -5,move 0,move 3,DQ,move 0,move 4,move 0,move 0,move -6,move -7,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 2,move 0,buy 0,move 0,move 0,move 0,sell 37,move 2,move 0,move -6,move -2,sell 37
89,sell 2,buy 37,move 7,move -7,move 7,buy 37,move 0,buy 37,DQ,move 0,buy 37,move 0,move 0,buy 37,move -7,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,buy 37,move 0,buy 0,move 0,move 0,move 0,move 7,sell 37,move 0,sell 37,sell 37,move -3
90,move 0,move -7,move 7,buy 37,move 7,move 7,move 0,move -6,DQ,move 0,move -7,move 0,move 0,move 7,buy 36,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move -2,move 0,buy 0,move 0,move 0,move 0,buy 37,move -7,move 0,move -2,move 2,move 4
91,move 0,move -7,move 5,move -6,move 5,move 2,move 0,sell 37,DQ,move 0,move -7,move 0,move 0,move 7,move -4,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,sell 37,move 0,buy 0,move 0,move 0,move 0,move -6,buy 37,move 0,move -1,buy 37,move 0
92,move 0,move -4,sell 37,sell 37,sell 37,buy 46,move 0,move -6,DQ,move 0,move -4,move 0,move 0,move 5,sell 37,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 3,move 0,buy 0,move 0,move 0,move 0,sell 37,move -7,move 0,buy 37,move -2,move 0
93,move 0,sell 37,move -7,move 3,move 1,move 7,move 0,buy 37,DQ,move 0,sell 37,move 0,move 0,sell 37,move -5,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,buy 10,move 0,buy 0,move 0,move 0,move 0,move 1,move -2,move 0,move 7,sell 37,move 0
94,move 0,move 0,buy 37,buy 50,move 1,move 3,move 0,move 7,DQ,move 0,move 0,move 0,move 0,move 0,buy 37,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,move 0,buy 0,move 0,buy 0,move 0,move 0,move 0,move 1,buy 19,move 0,move 6,move 0,move 0
